BN/Registration Number	Charity Name	Charity Status	Effective Date of Status	Sanction	Designation code	Category code	Address	City	Province	Country	Postal Code/Zip Code	
863677126RR0001	CLOTHING WORKS OAKVILLE	Registered	2001-07-01		C	09	484 RATTRAY PARK DR	MISSISSAUGA	ON	CA	L5J2N1	
119695369RR0001	COMMUNITY CHARITABLE FOUNDATION	Registered	1982-12-25		A	03	2325 SKYMARK AVE.	MISSISSAUGA	ON	CA	L4W5A9	
857158489RR0001	COMMUNITY CHARITABLE TRUST	Registered	2000-01-01		B	03	1 - 125 TRADERS BLVD E	MISSISSAUGA	ON	CA	L4Z2H3	
106961402RR0001	COMMUNITY CHRISTIAN REFORMED CHURCH OF MEADOWVALE	Registered	1977-01-01		C	39	2630 INLAKE COURT	MISSISSAUGA	ON	CA	L5N2G2	
106962830RR0002	COMMUNITY LIVING MISSISSAUGA	Registered	1983-04-01		C	11	6695 MILLCREEK DR UNIT 1	MISSISSAUGA	ON	CA	L5N5R8	
871161121RR0001	COMMUNITY LIVING MISSISSAUGA FOUNDATION	Registered	1985-12-19		C	13	6695 MILLCREEK DRIVE          UNIT #1	MISSISSAUGA	ON	CA	L5N5R8	
119288918RR0149	CONGREGATION OF JEHOVAH'S WITNESSES COOKSVILLE ONTARIO	Registered	1967-01-01		C	61	2342 ALTERSEN PL	MISSISSAUGA	ON	CA	L5A1N8	
106972409RR0001	COOKSVILLE UNITED CHURCH	Registered	1967-01-01		C	44	2500 MIMOSA ROW	MISSISSAUGA	ON	CA	L5B1P7	
135887958RR0001	COPTIC ORTHODOX PATRIARCHATE OF ALEXANDRIA, THE CHURCH OF THE VIRGIN MARY AND ST ATHANISIUS	Registered	1987-01-01		C	39	1245 EGLINGTON AVENUE WEST	MISSISSAUGA	ON	CA	L5V2M4	
862272424RR0001	CREDIT VALLEY COUNCIL NO. 8661 CHARITABLE WELFARE TRUST	Registered	2003-01-15		A	65	5440 DURIE ROAD	MISSISSAUGA	ON	CA	L5M2J5	
889929642RR0001	CROSS OF LIFE LUTHERAN CHURCH	Registered	1989-04-08		C	39	3964 BEACHAM STREET	MISSISSAUGA	ON	CA	L5N6S9	
899555122RR0001	CRUISERS SPORTS FOR THE PHYSICALLY DISABLED	Registered	1999-03-30		C	56	9-6975 MEADWODALE TOWN CTR CIRSUITE 158	MISSISSAUGA	ON	CA	L5N2V7	
106998008RR0001	CZECHOSLOVAK EVANGELICAL MISSION	Registered	1983-10-10		C	47	29 MISSISSAUGA RD N	MISSISSAUGA	ON	CA	L5H2H7	
803742774RR0001	Dalcroze Canada	Registered	2015-01-14		C	22	80 - 915 INVERHOUSE DR	MISSISSAUGA	ON	CA	L5J4B2	
871942579RR0001	Deaf Literacy Initiative	Registered	1997-09-30		C	21	109-420 BRITANNIA RD E	MISSISSAUGA	ON	CA	L4Z3L5	
850137241RR0001	Deen Support Services	Registered	2013-01-18		C	09	1486 SOUTHDOWN RD	MISSISSAUGA	ON	CA	L5J2Z4	
850807843RR0001	Dravet.ca	Registered	2013-02-26		C	11	211 - 2400 DUNDAS ST W	MISSISSAUGA	ON	CA	L5K2R8	
826207110RR0001	Dufresne Ministries Canada	Registered	2011-03-21		C	39	140 CAPITAL CRT	MISSISSAUGA	ON	CA	L5T2R8	
856638036RR0001	DARFUR DIASPORA ASSOCIATION	Registered	2007-01-01		C	02	3570 ASH ROW CRESCENT	MISSISSAUGA	ON	CA	L5L1K4	
118882711RR0001	DAVENPORT GOSPEL HALL	Registered	1967-01-01		C	39	1451 EVENSIDE CRES	MISSISSAUGA	ON	CA	L5M3X8	
820011955RR0001	DESPERATE HOUSE CATS RESCUE SOCIETY	Registered	2008-03-03		C	54	100 CITY CENTRE DR            P.O. BOX 2274	MISSISSAUGA	ON	CA	L5B3C8	
889844593RR0001	DEWDNEY FAMILY CHARITABLE FOUNDATION	Registered	1995-01-01		B	03	57 QUEEN STREET SOUTH	MISSISSAUGA	ON	CA	L5M1K5	
865276372RR0001	DIABETES HOPE FOUNDATION	Registered	2000-10-01		A	13	6150 DIXIE ROAD               UNIT 1	MISSISSAUGA	ON	CA	L5T2E2	
843224387RR0001	DISCOVERY COMMUNITY CHRISTIAN CHURCH	Registered	2001-07-09		C	39	7755 TENTH LINE WEST          SUITE 200	MISSISSAUGA	ON	CA	L5N0C4	
119288918RR1086	DIXIE CONGREGATION OF JEHOVAH'S WITNESSES	Registered	1996-09-01		C	61	4351 DIXIE ROAD	MISSISSAUGA	ON	CA	L4W1M9	
107021800RR0001	DIXIE PRESBYTERIAN CHURCH	Registered	1967-01-01		C	37	3065 CAWTHRA RD.	MISSISSAUGA	ON	CA	L5A2X4	
840119952RR0001	DOMINION IN CHRIST INTERNATIONAL MINISTRIES	Registered	2007-10-29		C	39	5359 TIMBERLEA BLVD           UNIT 61	MISSISSAUGA	ON	CA	L4W4N5	
886048792RR0001	DOWN SYNDROME ASSOCIATION OF ONTARIO	Registered	1985-03-01		C	11	PO BOX 26042 RPO CHURCHILL	MISSISSAUGA	ON	CA	L5L5W7	
852039866RR0001	DREW HILDEBRAND TEEN BENEFIT FUND	Registered	2009-08-06		C	21	2979 PICTON PLACE,	MISSISSAUGA	ON	CA	L5M5S7	
107268864RR0001	DUFFERIN-PEEL CATHOLIC DISTRICT SCHOOL BOARD	Registered	1990-01-01		C	20	40 MATHESON BLVD W	MISSISSAUGA	ON	CA	L5R1C5	
108148263RR0006	Eastern Eparchy of the Ukrainian Orthodox Church of Canada	Registered	1998-10-01		C	39	3281 CINDY CRESCENT	MISSISSAUGA	ON	CA	L4Y3J7	
825509482RR0001	Elevation Church Canada (Est 2012)	Registered	2012-07-10		C	39	E - 1980 MATHESON BLVD E	MISSISSAUGA	ON	CA	L4W5N3	
119288918RR1648	Embleton Congregation of Jehovah's Witnesses, Brampton, Ontario	Registered	2015-03-02		C	61	1644 CASABLANCA CIR	MISSISSAUGA	ON	CA	L5N8G2	
834238032RR0001	Emmaus Formation Centre	Registered	2014-01-01		C	49	1422 MIRAYA COURT	MISSISSAUGA	ON	CA	L5C2T5	
118901446RR0001	ErinoakKids Centre for Treatment and Development	Registered	1971-10-05		C	11	1230 CENTRAL PKY W	MISSISSAUGA	ON	CA	L5C0A5	
830949004RR0001	Eun-Hae Methodist Church	Registered	2010-12-22		C	39	766 VERMOUTH AVE	MISSISSAUGA	ON	CA	L5A3T3	
889302006RR0001	Eyes of Compassion Relief Organization	Registered	2010-01-01		C	09	114 - 1055 CANADIAN PLACE	MISSISSAUGA	ON	CA	L4W0C2	
888512522RR0001	EBENEZER REFORMED CHURCH OF MISSISSAUGA INC.	Registered	1967-01-01		C	39	2438 GLENGARRY ROAD	MISSISSAUGA	ON	CA	L5C1Y2	
107797383RR0102	EBENEZER SEVENTH-DAY ADVENTIST CHURCH	Registered	2001-04-03		C	41	20-2900 ARGENTIA RD.	MISSISSAUGA	ON	CA	L5A2X4	
119245645RR0001	ECOSOURCE MISSISSAUGA	Registered	1980-01-01		C	59	6600 FALCONER DR	MISSISSAUGA	ON	CA	L5N1M2	
864407259RR0001	EDEN FOOD FOR CHANGE	Registered	2002-07-17		C	09	2-3185 UNITY DRIVE	MISSISSAUGA	ON	CA	L5L4L5	
118893023RR0001	EDEN UNITED CHURCH	Registered	1992-12-26		C	44	3051 BATTLEFORD ROAD	MISSISSAUGA	ON	CA	L5N5Z9	
853421162RR0001	EKAL VIDYALAYA FOUNDATION OF CANADA	Registered	2007-01-01		C	09	5448 ELGAR CRT	MISSISSAUGA	ON	CA	L5M5C9	
851526129RR0001	END-TIME WORLD REVIVAL MINISTRY	Registered	2007-01-01		C	39	3831 BAYSWATER CRESCENT	MISSISSAUGA	ON	CA	L4T2G6	
802886218RR0001	EPILEPSY HALTON PEEL HAMILTON	Registered	2008-07-23		C	11	5 - 2155 DUNWIN DR	MISSISSAUGA	ON	CA	L5L4M1	
875912701RR0001	ERDO	Registered	2003-12-09		C	09	2450 MILLTOWER COURT	MISSISSAUGA	ON	CA	L5N5Z6	
875910705RR0001	ERDO FOUNDATION	Registered	2003-09-30		A	03	2450 MILLTOWER COURT	MISSISSAUGA	ON	CA	L5N5Z6	
107309072RR0001	ERIN MILLS BAPTIST CHURCH	Registered	1970-02-24		C	31	1991 SOUTH MILLWAY	MISSISSAUGA	ON	CA	L5L1R4	
107309080RR0001	ERIN MILLS CHURCH CAMPUS	Registered	1977-01-01		C	49	3535 SOUTH COMMON COURT	MISSISSAUGA	ON	CA	L5L2B3	
101676864RR0001	ERIN MILLS CO-OPERATIVE NURSERY SCHOOL INC.	Registered	1981-02-06		C	20	2264 COUNCIL RING RD	MISSISSAUGA	ON	CA	L5L1B7	
119288918RR0548	ERIN MILLS CONGREGATION OF JEHOVAH'S WITNESSES, TORONTO ONTARIO	Registered	1982-10-01		C	61	44-3500 GLEN ERIN DR	MISSISSAUGA	ON	CA	L5L1W6	
107309148RR0001	ERIN MILLS UNITED CHURCH	Registered	1974-04-01		C	39	3010 THE COLLEGEWAY	MISSISSAUGA	ON	CA	L5L4X9	
820967859RR0001	ERIN MILLS YOUTH CENTRE	Registered	2010-06-14		C	09	3010 THE COLLEGEWAY	MISSISSAUGA	ON	CA	L5L4X9	
130721129RR0001	ERINDALE BIBLE CHAPEL	Registered	1967-01-01		C	39	1400 DUNDAS CRES	MISSISSAUGA	ON	CA	L5C1E7	
888993573RR0001	ERINDALE LADIES FELLOWSHIP	Registered	1988-01-12		C	47	1560 DUNDAS ST W	MISSISSAUGA	ON	CA	L5C1E5	
107308967RR0001	ERINDALE PRESBYTERIAN CHURCH	Registered	1980-01-01		C	37	1560 DUNDAS STREET WEST	MISSISSAUGA	ON	CA	L5C1E5	
118901354RR0001	ERINDALE UNITED CHURCH	Registered	1967-01-01		C	44	1444 DUNDAS CRESC	MISSISSAUGA	ON	CA	L5C1E9	
827113895RR0001	ERINOAKKIDS FOUNDATION - FONDATION ERINOAKKIDS	Registered	2009-06-09		A	13	2655 NORTH SHERIDAN WAY       SUITE 110	MISSISSAUGA	ON	CA	L5K2P8	
890628563RR0001	ERITREE ECOLOGICAL SUPPORT GROUP	Registered	1995-08-01		C	09	569 CHANTENAY DR	MISSISSAUGA	ON	CA	L5A1G4	
118902675RR0001	ETHEL V. LEAVER FOUNDATION	Registered	1981-01-01		B	03	1479 ASHINGTON COURT	MISSISSAUGA	ON	CA	L5C1R5	
129179388RR0001	EUROVANGELISM	Registered	1976-03-19		C	47	7575 DANBRO CRESCENT	MISSISSAUGA	ON	CA	L5N6P9	
890622525RR0001	EXODUS DELIVERANCE TEMPLE INC.	Registered	1999-08-05		C	39	1306 BRITANNIA RD E	MISSISSAUGA	ON	CA	L4W1C8	
812877751RR0001	Faith of Life Network	Registered	2010-11-24		C	60	7150 EDWARDS BOULEVARD	MISSISSAUGA	ON	CA	L5S1Z1	
841372899RR0001	Faith Community Bible Fellowship	Registered	2009-01-01		C	39	3494 ITALIA CRESCENT	MISSISSAUGA	ON	CA	L5B3T1	
842626988RR0001	Fellowship Church GTA	Registered	2015-01-01		C	39	PO BOX 42011 RPO CENTRE PLAZA	MISSISSAUGA	ON	CA	L5M4Z4	
803691492RR0001	Fo Guang Shan Temple (Waterloo)	Registered	2013-01-01		C	35	6525 MILLCREEK DRIVE,	MISSISSAUGA	ON	CA	L5N7K6	
888288669RR0001	Foundation for Advancing Family Medicine / Fondation pour l'avancement de la médecine familiale	Registered	1994-03-28		C	29	2630 SKYMARK AVENUE	MISSISSAUGA	ON	CA	L4W5A4	
806545034RR0001	Foundation of Canadian Catholic Congregations/ Fondation des congrégations Catholiques Canadiennes	Registered	2014-06-02		C	03	6299 AIRPORT ROAD             SUITE 100	MISSISSAUGA	ON	CA	L4V1N3	
107406316RR0029	Free Methodist Tamil Church	Registered	1997-01-01		C	39	#41-3045 SOUTHCREEK ROAD	MISSISSAUGA	ON	CA	L4X2X7	
759796725RR0001	Freedom in Christ Church of The Christian and Missionary Alliance in Canada	Registered	2009-10-10		C	39	5 - 5225 ORBITOR DR	MISSISSAUGA	ON	CA	L4W4Y8	
774593321RR0001	Friend to the Needy	Registered	2017-10-12		C	11	1210 - 4 ROBERT SPECK PKY	MISSISSAUGA	ON	CA	L4Z1S1	
822293619RR0001	Friends of the Museums of Mississauga	Registered	2009-01-01		C	59	P.O.BOX 52560 1801 LAKESHORE RD.W.,UNIT#6	MISSISSAUGA	ON	CA	L5J4S6	
835530023RR0001	Fruitful House Family Church	Registered	2009-01-01		C	39	1-6731 COLUMBUS RD	MISSISSAUGA	ON	CA	L5T2M4	
828829648RR0001	Fulfilled Life Evangelical Ministry	Registered	2017-06-28		C	39	25 - 7500 GOREWAY DR	MISSISSAUGA	ON	CA	L4T3C7	
833012909RR0001	Full Gospel Hungarian Mission	Registered	2012-03-09		C	39	6466 DUNRAY COURT,	MISSISSAUGA	ON	CA	L5N1L2	
119148112RR0001	FAITH ALIVE CHRISTIAN CENTRE INC.	Registered	1985-06-18		C	39	3595 NASHUA DRIVE	MISSISSAUGA	ON	CA	L4V1R1	
895387702RR0001	FAITH RESTORATION ASSEMBLY	Registered	2004-01-01		C	39	735 CONSORT CRES	MISSISSAUGA	ON	CA	L5C1J8	
135164515RR0001	FAMILY PRAYER MISSION (ONTARIO)	Registered	1990-01-01		C	47	2478 CALLUM AVE	MISSISSAUGA	ON	CA	L5B2H9	
107376279RR0001	FAMILY SERVICES OF PEEL	Registered	1971-04-01		C	09	#501 - 151 CITY CENTRE DRIVE	MISSISSAUGA	ON	CA	L5B1M7	
889771572RR0001	FATIMA HOUSE TRUST FUND	Registered	1982-04-06		C	01	3345 SILVERADO DR #62	MISSISSAUGA	ON	CA	L5A3Y8	
890555279RR0001	FDC Foundation	Registered	2000-12-01		B	03	ORLANDO CORPORATION,          500-6205 AIRPORT ROAD	MISSISSAUGA	ON	CA	L4V1E3	
101758282RR0001	FELICIAN SISTERS OF ST. FRANCIS OF CANADA	Registered	1977-01-01		C	46	2165 MISSISSAUGA RD N	MISSISSAUGA	ON	CA	L5H2K8	
829431121RR0001	FELIS (FOCUS ON EASIER LIVES FOR STRAYS)	Registered	2007-01-01		C	54	339 - 2325 HURONTARIO ST	MISSISSAUGA	ON	CA	L5A4K4	
872049200RR0001	FIELD MINISTRIES INTERNATIONAL	Registered	2004-01-01		C	47	140 CAPITAL COURT	MISSISSAUGA	ON	CA	L5T2R8	
892455569RR0001	FILIPINO CANADIAN EVANGELICAL METHODIST CHURCH, TORONTO	Registered	1996-01-01		C	39	55 BARONDALE DR # 77	MISSISSAUGA	ON	CA	L4Z3P9	
888754603RR0001	FIRST BOOK/LE PREMIER LIVRE	Registered	2005-02-28		A	03	1502 - 90 BURNHAMTHORPE RD W	MISSISSAUGA	ON	CA	L5B3C3	
885275156RR0001	FIRST PENTECOSTAL CHURCH MISSIONARY EBENEZER OF CANADA	Registered	1995-08-09		C	36	2947 WINDJAMMER RD.	MISSISSAUGA	ON	CA	L5L1S8	
118919273RR0001	FIRST UNITED CHURCH	Registered	1967-01-01		C	44	151 LAKESHORE ROAD WEST	MISSISSAUGA	ON	CA	L5H1G3	
891190522RR0001	FIRST UNITED FOUNDATION	Registered	2001-03-05		A	43	151 LAKESHORE ROAD WEST	MISSISSAUGA	ON	CA	L5H1G3	
118920404RR0001	FOLKLORE ENSEMBLE CROATIA MISSISSAUGA	Registered	1984-12-03		C	22	251 QUEEN ST. SOUTH           SUITE 817	MISSISSAUGA	ON	CA	L5M1L7	
130643737RR0001	FOOD BANKS CANADA / BANQUES ALIMENTAIRES CANADA	Registered	1989-01-01		C	09	5025 ORBITOR DR               BUILDING 2, SUITE 400	MISSISSAUGA	ON	CA	L4W4Y5	
134202654RR0001	FORUM ITALIA DAY CARE NON-PROFIT INC	Registered	1991-01-01		C	01	113-195 FORUM DR	MISSISSAUGA	ON	CA	L4Z3M5	
868610643RR0001	FOUNDATIONS MINISTRIES INC.	Registered	1998-03-02		C	47	6655 KITIMAT RD	MISSISSAUGA	ON	CA	L5N6J4	
118929470RR0001	FOUNTAIN OF FAITH CHURCH	Registered	1985-04-17		C	39	1749 DUNDAS ST E, UNIT #8     6TH AVE W	MISSISSAUGA	ON	CA	L4X2R6	
140773417RR0001	FOUNTAIN OF LIFE CHRISTIAN MISSION (KING CITY)	Registered	1993-01-01		B	47	2821 RAINBOW CRES	MISSISSAUGA	ON	CA	L5L2H7	
891845042RR0001	FRESH ANOINTING MINISTRIES OF CANADA	Registered	1996-01-01		C	49	303 - 4230 SHERWOODTOWNE BLVD	MISSISSAUGA	ON	CA	L4Z2G6	
118932268RR0001	FRIEDRICH SCHILLER FOUNDATION FOR GERMAN-CANADIAN CULTURE	Registered	1981-05-19		A	23	3141 WHARTON WAY	MISSISSAUGA	ON	CA	L4X2B6	
859926289RR0001	FRIENDS OF CAMP CONNECTIONS	Registered	2002-12-08		C	49	1447 MERROW RD	MISSISSAUGA	ON	CA	L5J3C4	
894508282RR0001	FULL TRUTH CHURCH OF GOD DELIVERANCE CENTRE	Registered	1996-10-01		C	39	1117 WINDSOR HILL BOUL	MISSISSAUGA	ON	CA	L5V1P5	
894639483RR0001	FUN SCHOOL	Registered	1996-09-01		C	01	44 PORT STREET WEST	MISSISSAUGA	ON	CA	L5H1C9	
891622979RR0001	G&K SERVICES CANADA INC. EMPLOYEES' CHARITY TRUST	Registered	1978-09-25		B	05	1105 - 5935 AIRPORT RD	MISSISSAUGA	ON	CA	L4V1W5	
841583917RR0001	Gawad Kalinga Canada	Registered	2011-07-25		C	09	PO BOX 37039                  ROSEBOROUGH PO	MISSISSAUGA	ON	CA	L5V1N3	
814996377RR0001	Gay Lea Foundation	Registered	2014-05-23		B	03	5200 ORBITOR DRIVE	MISSISSAUGA	ON	CA	L4W5B4	
131172116RR0001	Generous Space Ministries	Registered	1986-04-01		C	49	PO BOX 20014                  RPO APPLEWOOD VILLAGE	MISSISSAUGA	ON	CA	L4Y4L2	
839733847RR0001	Gilgal Christian Community	Registered	2013-01-01		C	39	2386 HAINES ROAD              UNIT 217	MISSISSAUGA	ON	CA	L4Y1Y6	
821043999RR0001	Global Deaf Muslim Canada	Registered	2016-01-01		C	20	1486 SOUTHDOWN RD	MISSISSAUGA	ON	CA	L5J2Z4	
874977309RR0001	Glorious Praise Ministries	Registered	2004-06-07		C	47	7050 BRAMALEA ROAD, UNIT 44-48	MISSISSAUGA	ON	CA	L5S1S9	
838347664RR0001	God's Assembly Worship Centre Inc.	Registered	2010-04-15		B	39	7652 KITTRIDGE DRIVE	MISSISSAUGA	ON	CA	L4T3J6	
815808720RR0001	Golder Trust for Orphans Canada	Registered	2017-01-01		C	01	6925 CENTURY AVE	MISSISSAUGA	ON	CA	L5N7K2	
792605321RR0001	Gospel Redemption Faith Ministries	Registered	2017-01-01		C	39	7435 GOREWAY DRIVE,	MISSISSAUGA	ON	CA	L4T4G5	
806419529RR0001	Grace Community Church of Mississauga	Registered	2016-01-01		C	39	31 - 6535 MILLCREEK DR	MISSISSAUGA	ON	CA	L5N2M2	
838910727RR0001	Grace Family Church of Christian Missionary Alliance of Can ada	Registered	2007-02-05		C	39	1091 BREVIK PLACE	MISSISSAUGA	ON	CA	L4W3R7	
871527735RR0001	Grace Fellowship Canada	Registered	1999-01-01		C	39	31 - 6535 MILLCREEK DR	MISSISSAUGA	ON	CA	L5N2M2	
801730797RR0001	Grace Hill Presbyterian Church	Registered	2016-08-15		C	37	40 - 1051 CEDARGLEN GATE	MISSISSAUGA	ON	CA	L5C3A7	
846958668RR0001	Greenhills Christian Fellowship - Peel	Registered	2010-01-21		C	39	33 CITY CENTRE DRIVE,         SUITE 582	MISSISSAUGA	ON	CA	L5B2N5	
833774755RR0001	Gurfateh Sewa Centre	Registered	2009-01-01		C	62	7875 TRANMERE DRIVE           UNIT 17	MISSISSAUGA	ON	CA	L5S1T8	
118833870RR0001	GENETIC AORTIC DISORDERS ASSOCIATION CANADA/L'ASSOCIATION CANADIENNE DES MALADIES GENETIQUES DE L'AORTE	Registered	1987-04-21		C	11	PO BOX 42257 RPO CENTRE PLAZA 128 QUEEN ST SOUTH	MISSISSAUGA	ON	CA	L5M4Z4	
872026984RR0001	GEORGE C. HUNT FAMILY FOUNDATION	Registered	1997-09-26		B	05	470 FAITH DRIVE               UNIT 60	MISSISSAUGA	ON	CA	L5R4E9	
871213864RR0001	GIFT OF GOD CHURCH	Registered	1999-01-01		C	39	250 WAITLINE AVENUE	MISSISSAUGA	ON	CA	L4Z1P4	
819920075RR0001	GILLESPIE FAMILY FOUNDATION	Registered	2005-11-22		B	03	1288 GREENOAKS DRIVE	MISSISSAUGA	ON	CA	L5J3A5	
119288918RR0664	GLEN MEADOW CONGREGATION OF JEHOVAH'S WITNESSES	Registered	1986-04-01		C	61	4351 DIXIE RD.	MISSISSAUGA	ON	CA	L4W1M9	
118939727RR0001	GLENBROOK PRESBYTERIAN CHURCH	Registered	1974-05-21		C	37	3535 SOUTH COMMON COURT	MISSISSAUGA	ON	CA	L5L2B3	
859969545RR0001	GLOBAL ASSISTANCE PARTNERS (G.A.P) MISSIONS CHURCH	Registered	2004-06-08		C	37	6965 PROFESSIONAL CRT	MISSISSAUGA	ON	CA	L4V1Y3	
882201403RR0001	GLORY PENTECOSTAL MINISTRY OF TORONTO	Registered	2006-06-23		C	39	7115 REXWOOD                  UNIT 15	MISSISSAUGA	ON	CA	L4T4L3	
871607115RR0001	GOD'S HOLY TEMPLE	Registered	2001-10-05		C	39	#11-7885 TRANMERE DRIVE	MISSISSAUGA	ON	CA	L5S1V8	
118942168RR0001	GOSPEL ASSEMBLY CHURCH ASSOCIATION	Registered	1979-03-14		C	39	1034 HAIG BLVD	MISSISSAUGA	ON	CA	L5E2M5	
891558975RR0001	GRACE BAPTIST CHURCH	Registered	1991-01-01		C	31	3800 RIDGEPOINT WAY	MISSISSAUGA	ON	CA	L5N7T8	
890501976RR0001	GREEK CANADIAN COMMUNITY OF PEEL & HALTON	Registered	1982-01-01		C	56	7255 ST. BARBARA BLVD	MISSISSAUGA	ON	CA	L5W0C1	
890590797RR0001	GREEK ORTHODOX CHURCH OF THREE HIERARCHS & ST. GEORGE	Registered	1988-01-01		C	39	2190 BRITANNIA ROAD WEST	MISSISSAUGA	ON	CA	L5M1R2	
889059499RR0001	GREEK ORTHODOX COMMUNITY OF MISSISSAUGA	Registered	1989-11-25		C	39	1785 MATHESON BLVD	MISSISSAUGA	ON	CA	L4W1V2	
831191754RR0001	Hands in Poor Places Organization	Registered	2008-01-31		C	09	6045 CREDITVIEW RD            SUITE 205	MISSISSAUGA	ON	CA	L5V0B1	
893021964RR0001	Harmony Baptist Church	Registered	1993-01-01		C	31	1640 CARMEN DRIVE	MISSISSAUGA	ON	CA	L5G3Z1	
801961830RR0001	Harvestime Pentecostal Ministries	Registered	2014-05-18		C	39	1504 - 3620 KANEFF CRES	MISSISSAUGA	ON	CA	L5A3X1	
811068485RR0001	Hatch Charitable Foundation	Registered	2012-10-29		B	02	2800 SPEAKMAN DRIVE	MISSISSAUGA	ON	CA	L5K2R7	
850553058RR0001	Healing with Smiles-Keepsmiling Alliance	Registered	2009-08-20		C	11	4099 ERIN MILLS PARKWAY       UNIT 15	MISSISSAUGA	ON	CA	L5L3P9	
830772430RR0001	Healing Hands Christian Ministry	Registered	2014-05-30		C	39	811-1900 NORTH SHERIDAN WAY	MISSISSAUGA	ON	CA	L5K2R3	
751310491RR0001	Help Me! Projects	Registered	2017-01-01		C	09	31-7385 MAGISTRATE TERRACE	MISSISSAUGA	ON	CA	L5W1W8	
831282512RR0001	Hill Pride Legacy Fund	Registered	2011-03-04		A	03	3195 THE COLLEGEWAY	MISSISSAUGA	ON	CA	L5L4Z6	
816666754RR0001	Hindi Writers Guild	Registered	2009-06-12		C	21	3577 NABLUS GATE	MISSISSAUGA	ON	CA	L5B3J9	
875424715RR0001	Hindu Federation	Registered	2005-01-01		C	49	270 EXPORT BLVD.	MISSISSAUGA	ON	CA	L5S1Y9	
833919244RR0001	Horizons Endowment Foundation	Registered	2014-01-01		A	43	2270 SPEAKMAN DRIVE	MISSISSAUGA	ON	CA	L5K1B4	
803259837RR0001	Hugh & Linda Brown Educational Foundation	Registered	2014-06-13		B	03	606-65 PORT ST. E	MISSISSAUGA	ON	CA	L5G4V3	
848695409RR0001	Human Emergency Aid & Rehabilitation Trust (Heart) Inc.	Registered	2017-05-03		C	02	5978 COUPLES ST	MISSISSAUGA	ON	CA	L5V2Z5	
891708166RR0001	HALTON PEEL BUDDHIST CULTURAL SOCIETY	Registered	1995-12-16		C	35	3133 CAWTHRA ROAD	MISSISSAUGA	ON	CA	L5A2X4	
118951300RR0001	HALTON PRESBYTERY	Registered	1967-01-01		C	44	2296 LOGWOOD COURT	MISSISSAUGA	ON	CA	L5C3C5	
887324036RR0001	HARI KRISHAN PUBLICATION	Registered	1998-01-01		C	48	6300 MISSISSAUGA RD	MISSISSAUGA	ON	CA	L5N1A7	
892701566RR0001	HARVEST TIME MINISTRIES OF CANADA	Registered	1992-04-30		C	39	332-2075 SHEROBEE ROAD	MISSISSAUGA	ON	CA	L5A4C1	
861752889RR0001	HEALTH OUTREACH	Registered	2002-10-22		C	11	117 QUEEN STREET SOUTH        UNIT 2	MISSISSAUGA	ON	CA	L5M6B5	
132155011RR0001	HEARTHOUSE HOSPICE INC.	Registered	1985-11-06		C	11	1-855 MATHESON BLVD E	MISSISSAUGA	ON	CA	L4W4L6	
857466429RR0001	HEARTLAND, A CHURCH CONNECTED	Registered	1985-10-25		C	36	145 TRADERS BOULEVARD         UNIT 9	MISSISSAUGA	ON	CA	L4Z3L3	
848327128RR0001	HELPING HANDS OUTREACH INTERNATIONAL	Registered	2007-08-17		C	09	3-C-3180 KIRWIN AVENUE	MISSISSAUGA	ON	CA	L5A2K7	
119288918RR0814	HERITAGE HILLS CONGREGATION OF JEHOVAH'S WITNESSES, MISSISSAUGA, ONTARIO	Registered	1990-01-01		C	61	6844 CAMPBELL SETTLER CRT	MISSISSAUGA	ON	CA	L5W1L7	
886232198RR0001	HINDU MISSION OF MISSISSAUGA	Registered	1994-06-01		C	48	1808 DREW ROAD	MISSISSAUGA	ON	CA	L5S1J6	
888204070RR0001	HOPE ASSEMBLY OF BIBLE CHRISTIANS, MISSISSAUGA	Registered	1991-08-01		C	31	201 - 45 PAISLEY BLVD W	MISSISSAUGA	ON	CA	L5B1E4	
137201323RR0001	HOSANNA EVANGELICAL FREE CHURCH OF ONTARIO	Registered	1992-01-01		C	39	3065 - UNIT 36, RIDGEWAY DRIVE	MISSISSAUGA	ON	CA	L5L5M6	
861832947RR0001	HOSANNA INTERNATIONAL OUTREACH MINISTRIES	Registered	2004-12-07		C	47	3-3055 DUNDAS STREET WEST     SUITE 156	MISSISSAUGA	ON	CA	L5L3R8	
878147016RR0001	HOSANNA WORSHIP CENTRE	Registered	2001-03-19		C	39	848 SOUTH SERVICE RD	MISSISSAUGA	ON	CA	L5E1T8	
893828715RR0001	HOUSE OF PRAISE - THE REDEEMED CHRISTIAN CHURCH OF GOD	Registered	2003-01-06		C	39	3085 LENWORTH DRIVE	MISSISSAUGA	ON	CA	L4X3A2	
854589132RR0001	I CARE INTERNATIONAL	Registered	2002-04-15		B	09	1933 KEMPTON PARK DRIVE	MISSISSAUGA	ON	CA	L5M2Z7	
829873629RR0001	Iglesia Cristiana Piedra Angular (Canada) Inc.	Registered	2010-01-01		C	39	34 PIERPONT PL	MISSISSAUGA	ON	CA	L5N5V1	
844636407RR0001	Iglesia La Arbolada	Registered	2011-07-29		C	36	5 - 720 BURNHAMTHORPE RD W	MISSISSAUGA	ON	CA	L5C3G1	
832296412RR0001	In Christ Alone Ministries	Registered	2008-09-10		C	39	71 BEN MACHREE DR	MISSISSAUGA	ON	CA	L5H2S4	
